run,batch_size,n_policy_types,prompt_tokens,completion_tokens,cost_usd,time_sec,accuracy,diff
1,1,1,316,231,0.000343,3.54,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
1,2,1,331,261,0.00038,2.8,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
1,5,1,377,374,0.000517,3.99,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
1,10,1,453,460,0.000633,4.17,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
1,20,1,605,960,0.001225,7.16,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
2,1,1,316,146,0.000249,2.17,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
2,2,1,331,175,0.000285,2.15,1,{}
2,5,1,376,375,0.000518,3.99,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
2,10,1,451,428,0.000597,4.39,1,{}
2,20,1,602,706,0.000945,5.34,0,"{'dictionary_item_added': [""root['waypoint']"", ""root['loadbalancing']""]}"
1,2,2,373,403,0.000548,3.75,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
1,4,2,445,760,0.000961,6.47,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
1,10,2,661,1793,0.002157,13.55,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
1,20,2,1027,2961,0.003545,20.44,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
2,2,2,375,418,0.000565,3.97,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
2,4,2,449,575,0.000758,5.02,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
2,10,2,671,1741,0.002103,12.9,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
2,20,2,1035,2531,0.003074,18.25,0,"{'dictionary_item_added': [""root['loadbalancing']""]}"
1,3,3,487,1023,0.001262,8.38,1,{}
1,9,3,829,1465,0.001844,11.73,1,{}
1,33,3,0,0,0.0,25.78,0,LLM_ERROR
2,3,3,481,660,0.000861,6.0,1,{}
2,9,3,820,1039,0.001373,8.45,1,{}
2,33,3,0,0,0.0,29.45,0,LLM_ERROR
