model_error,format_error,batch_size,n_policy_types,policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,strict_exact_match,prompt_tokens,completion_tokens,total_cost,diff,raw_output
,,1,3,loadbalancing reachability waypoint,99,0,0,4.106,3,3,0,0,1.0,1,861,338,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""athens"": [""100.0.29.0/24""]
    },
    ""waypoint"": {
      ""(athens,100.0.29.0/24)"": [""london""]
    },
    ""loadbalancing"": {
      ""(athens,100.0.29.0/24)"": 3
    }
  }
}"
,,1,3,loadbalancing reachability waypoint,99,0,1,2.58,3,3,0,0,1.0,1,859,261,0,{},"{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""strasbourg"": [""100.0.1.0/24""]
        },
        ""waypoint"": {
            ""(strasbourg,100.0.1.0/24)"": [""kiev""]
        },
        ""loadbalancing"": {
            ""(strasbourg,100.0.1.0/24)"": 2
        }
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,2,3.649,3,3,0,0,1.0,1,858,346,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""luxembourg"": [""100.0.4.0/24""]
    },
    ""waypoint"": {
      ""(luxembourg,100.0.4.0/24)"": [""basel""]
    },
    ""loadbalancing"": {
      ""(luxembourg,100.0.4.0/24)"": 4
    }
  }
}"
,,1,3,loadbalancing reachability waypoint,99,0,3,1.919,3,3,0,0,1.0,1,858,163,0,{},"{
    ""reachability"": {
        ""frankfurt"": [""100.0.29.0/24""]
    },
    ""waypoint"": {
        ""(frankfurt,100.0.29.0/24)"": [""london""]
    },
    ""loadbalancing"": {
        ""(frankfurt,100.0.29.0/24)"": 2
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,4,14.292,3,3,0,0,1.0,1,857,291,0,{},"{""status"":""ok"",""result"":{""reachability"":{""zurich"":[""100.0.9.0/24""]},""waypoint"":{""(zurich,100.0.9.0/24)"":[""rotterdam""]},""loadbalancing"":{""(zurich,100.0.9.0/24)"":3}}}"
,,1,3,loadbalancing reachability waypoint,99,0,5,3.547,3,3,0,0,1.0,1,867,300,0,{},"{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""luxembourg"": [""100.0.1.0/24""]
        },
        ""waypoint"": {
            ""(luxembourg,100.0.1.0/24)"": [""kiev""]
        },
        ""loadbalancing"": {
            ""(luxembourg,100.0.1.0/24)"": 4
        }
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,6,3.185,3,3,0,0,1.0,1,855,261,0,{},"{""status"": ""ok"", ""result"": {""reachability"": {""vienna"": [""100.0.1.0/24""]}, ""waypoint"": {""(vienna,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(vienna,100.0.1.0/24)"": 2}}}"
,,1,3,loadbalancing reachability waypoint,99,0,7,2.873,3,3,0,0,1.0,1,859,187,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""istanbul"": [""100.0.9.0/24""]
    },
    ""waypoint"": {
      ""(istanbul,100.0.9.0/24)"": [""rotterdam""]
    },
    ""loadbalancing"": {
      ""(istanbul,100.0.9.0/24)"": 2
    }
  }
}"
,,1,3,loadbalancing reachability waypoint,99,0,8,2.932,3,3,0,0,1.0,1,854,204,0,{},"{""status"":""ok"",""result"":{""reachability"":{""kiev"":[""100.0.29.0/24""]},""waypoint"":{""(kiev,100.0.29.0/24)"":[""london""]},""loadbalancing"":{""(kiev,100.0.29.0/24)"":3}}}"
,,1,3,loadbalancing reachability waypoint,99,0,9,3.699,3,3,0,0,1.0,1,858,309,0,{},"{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""budapest"": [""100.0.29.0/24""]
        },
        ""waypoint"": {
            ""(budapest,100.0.29.0/24)"": [""london""]
        },
        ""loadbalancing"": {
            ""(budapest,100.0.29.0/24)"": 3
        }
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,10,4.782,3,3,0,0,1.0,1,859,190,0,{},"{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""rotterdam"": [""100.0.29.0/24""]
        },
        ""waypoint"": {
            ""(rotterdam,100.0.29.0/24)"": [""london""]
        },
        ""loadbalancing"": {
            ""(rotterdam,100.0.29.0/24)"": 2
        }
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,11,3.795,3,3,0,0,1.0,1,859,358,0,{},"{""status"": ""ok"", ""result"": {""reachability"": {""geneva"": [""100.0.1.0/24""]}, ""waypoint"": {""(geneva,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(geneva,100.0.1.0/24)"": 5}}}"
,,1,3,loadbalancing reachability waypoint,99,0,12,2.941,3,3,0,0,1.0,1,859,261,0,{},"{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""lyon"": [""100.0.9.0/24""]
        },
        ""waypoint"": {
            ""(lyon,100.0.9.0/24)"": [""rotterdam""]
        },
        ""loadbalancing"": {
            ""(lyon,100.0.9.0/24)"": 6
        }
    }
}"
,,1,3,loadbalancing reachability waypoint,99,0,13,2.882,3,3,0,0,1.0,1,863,255,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""roma"": [""100.0.29.0/24""]
    },
    ""waypoint"": {
      ""(roma,100.0.29.0/24)"": [""london""]
    },
    ""loadbalancing"": {
      ""(roma,100.0.29.0/24)"": 2
    }
  }
}"
,,1,3,loadbalancing reachability waypoint,99,0,14,2.663,3,3,0,0,1.0,1,863,242,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""brussels"": [""100.0.1.0/24""]
    },
    ""waypoint"": {
      ""(brussels,100.0.1.0/24)"": [""kiev""]
    },
    ""loadbalancing"": {
      ""(brussels,100.0.1.0/24)"": 4
    }
  }
}"
,,1,3,loadbalancing reachability waypoint,99,0,15,2.961,3,3,0,0,1.0,1,864,245,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""bucharest"": [""100.0.1.0/24""]
    },
    ""waypoint"": {
      ""(bucharest,100.0.1.0/24)"": [""kiev""]
    },
    ""loadbalancing"": {
      ""(bucharest,100.0.1.0/24)"": 2
    }
  }
}"
